NO_BATCH	TGL_PENGAMBILAN	NOMOR_MO	KODE_BARANG	LOKASI	QUANTITY	HARGA_PER_UNIT	STATIS	NO_AKUN	STATIS	STATIS	STATIS
[CSH0350100] Sheet Ukuran 175 X 80 cm	2016-04-13 04:31:25	PO00781	CSH035	Suppliers	908.0	5759.66	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0780200] Brosur OBH Syrup	2016-03-31 02:41:33	PO00654	CBR078	Suppliers	25000.0	31.78	STATIS	10010103	STATIS	STATIS	STATIS

[CET0820300] Etiket OBH Syrup 100 ml	2016-04-21 02:02:10	PO00654	CET082	Suppliers	25000.0	37.84	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0070100] Rangka botol 60 ml @ 50 botol	2016-04-05 08:15:05	PO00657	CRA007	Suppliers	1000.0	2020.0	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0050100] Rangka botol 100 ml @ 50 botol	2016-03-22 08:45:20	PO00657	CRA005	Suppliers	1800.0	1240.3	STATIS	10010103	STATIS	STATIS	STATIS

[CRA0050100] Rangka botol 100 ml @ 50 botol	2016-04-13 04:29:12	PO00657	CRA005	Suppliers	200.0	1240.3	STATIS	10010103	STATIS	STATIS	STATIS

[CBR0550200] Brosur Cotrimoksazole 60 ml, Maestro Print	2016-04-21 02:08:01	PO00709	CBR055	Suppliers	25000.0	20.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0590200] Etiket Cotrimoksazol Susp 60ml	2016-04-13 04:36:05	PO00709	CET059	Suppliers	3000.0	17.150000000000002	STATIS	10010103	STATIS	STATIS	STATIS

[CBO0090500] Btl Glass Amber 60 ml Round	2016-04-21 03:57:32	PO00740	CBO009	Suppliers	100000.0	420.0	STATIS	10010103	STATIS	STATIS	STATIS

[CET0190100] Etiket Camaag  100 ml	2016-04-28 08:17:15	PO00757	CET019	Suppliers	10000.0	136.44	STATIS	10010103	STATIS	STATIS	STATIS

